home,away,score
Manchester City F.C.,Leicester City F.C.,2-0
Manchester City F.C.,Liverpool F.C.,0-2
Manchester City F.C.,Manchester United F.C.,1-2
Manchester City F.C.,Newcastle United F.C.,4-0
Manchester City F.C.,Nottingham Forest F.C.,3-0
Manchester City F.C.,Southampton F.C.,1-0
Manchester City F.C.,Tottenham Hotspur F.C.,0-4
Manchester City F.C.,West Ham United F.C.,4-1
Manchester City F.C.,Wolverhampton Wanderers F.C.,1-0
Manchester United F.C.,Arsenal F.C.,1-1
Manchester United F.C.,Aston Villa F.C.,2-0
Manchester United F.C.,AFC Bournemouth,0-3
Manchester United F.C.,Brentford F.C.,2-1
Manchester United F.C.,Brighton & Hove Albion F.C.,1-3
Manchester United F.C.,Chelsea F.C.,1-1
Manchester United F.C.,Crystal Palace F.C.,0-2
Manchester United F.C.,Everton F.C.,4-0
Manchester United F.C.,Fulham F.C.,1-0
Manchester United F.C.,Ipswich Town F.C.,3-2
Manchester United F.C.,Leicester City F.C.,3-0
Manchester United F.C.,Liverpool F.C.,0-3
Manchester United F.C.,Manchester City F.C.,0-0
Manchester United F.C.,Newcastle United F.C.,0-2
Manchester United F.C.,Nottingham Forest F.C.,2-3
Manchester United F.C.,Southampton F.C.,3-1
Manchester United F.C.,Tottenham Hotspur F.C.,0-3
Manchester United F.C.,West Ham United F.C.,0-2
Manchester United F.C.,Wolverhampton Wanderers F.C.,0-1
Newcastle United F.C.,Arsenal F.C.,1-0
Newcastle United F.C.,Aston Villa F.C.,3-0
Newcastle United F.C.,AFC Bournemouth,1-4
Newcastle United F.C.,Brentford F.C.,2-1
Newcastle United F.C.,Brighton & Hove Albion F.C.,0-1
Newcastle United F.C.,Chelsea F.C.,2-0
Newcastle United F.C.,Crystal Palace F.C.,5-0
Newcastle United F.C.,Everton F.C.,0-1
Newcastle United F.C.,Fulham F.C.,1-2
Newcastle United F.C.,Ipswich Town F.C.,3-0
Newcastle United F.C.,Leicester City F.C.,4-0
Newcastle United F.C.,Liverpool F.C.,3-3
Newcastle United F.C.,Manchester City F.C.,1-1
Newcastle United F.C.,Manchester United F.C.,4-1
Newcastle United F.C.,Nottingham Forest F.C.,4-3
Newcastle United F.C.,Southampton F.C.,1-0
Newcastle United F.C.,Tottenham Hotspur F.C.,2-1
Newcastle United F.C.,West Ham United F.C.,0-2
Newcastle United F.C.,Wolverhampton Wanderers F.C.,3-0
Nottingham Forest F.C.,Arsenal F.C.,0-0
Nottingham Forest F.C.,Aston Villa F.C.,2-1
Nottingham Forest F.C.,AFC Bournemouth,1-1
Nottingham Forest F.C.,Brentford F.C.,0-2
Nottingham Forest F.C.,Brighton & Hove Albion F.C.,7-0
Nottingham Forest F.C.,Chelsea F.C.,0-1
Nottingham Forest F.C.,Crystal Palace F.C.,1-0
Nottingham Forest F.C.,Everton F.C.,0-1
Nottingham Forest F.C.,Fulham F.C.,0-1
Nottingham Forest F.C.,Ipswich Town F.C.,1-0
Nottingham Forest F.C.,Leicester City F.C.,2-2
Nottingham Forest F.C.,Liverpool F.C.,1-1
Nottingham Forest F.C.,Manchester City F.C.,1-0
Nottingham Forest F.C.,Manchester United F.C.,1-0
Nottingham Forest F.C.,Newcastle United F.C.,1-3
Nottingham Forest F.C.,Southampton F.C.,3-2
Nottingham Forest F.C.,Tottenham Hotspur F.C.,1-0
Nottingham Forest F.C.,West Ham United F.C.,3-0
Nottingham Forest F.C.,Wolverhampton Wanderers F.C.,1-1
Southampton F.C.,Arsenal F.C.,1-2
Southampton F.C.,Aston Villa F.C.,0-3
Southampton F.C.,AFC Bournemouth,1-3
Southampton F.C.,Brentford F.C.,0-5
Southampton F.C.,Brighton & Hove Albion F.C.,0-4
Southampton F.C.,Chelsea F.C.,1-5
Southampton F.C.,Crystal Palace F.C.,1-1
Southampton F.C.,Everton F.C.,1-0
Southampton F.C.,Fulham F.C.,1-2
Southampton F.C.,Ipswich Town F.C.,1-1
Southampton F.C.,Leicester City F.C.,2-3
Southampton F.C.,Liverpool F.C.,2-3
Southampton F.C.,Manchester City F.C.,0-0
Southampton F.C.,Manchester United F.C.,0-3
Southampton F.C.,Newcastle United F.C.,1-3
Southampton F.C.,Nottingham Forest F.C.,0-1
Southampton F.C.,Tottenham Hotspur F.C.,0-5
Southampton F.C.,West Ham United F.C.,0-1
Southampton F.C.,Wolverhampton Wanderers F.C.,1-2
Tottenham Hotspur F.C.,Arsenal F.C.,0-1
Tottenham Hotspur F.C.,Aston Villa F.C.,4-1
Tottenham Hotspur F.C.,AFC Bournemouth,2-2
Tottenham Hotspur F.C.,Brentford F.C.,3-1
Tottenham Hotspur F.C.,Brighton & Hove Albion F.C.,1-4
Tottenham Hotspur F.C.,Chelsea F.C.,3-4
Tottenham Hotspur F.C.,Crystal Palace F.C.,0-2
Tottenham Hotspur F.C.,Everton F.C.,4-0
Tottenham Hotspur F.C.,Fulham F.C.,1-1
Tottenham Hotspur F.C.,Ipswich Town F.C.,1-2
Tottenham Hotspur F.C.,Leicester City F.C.,1-2
Tottenham Hotspur F.C.,Liverpool F.C.,3-6
Tottenham Hotspur F.C.,Manchester City F.C.,0-1
Tottenham Hotspur F.C.,Manchester United F.C.,1-0
Tottenham Hotspur F.C.,Newcastle United F.C.,1-2
Tottenham Hotspur F.C.,Nottingham Forest F.C.,1-2
Tottenham Hotspur F.C.,Southampton F.C.,3-1
Tottenham Hotspur F.C.,West Ham United F.C.,4-1
Tottenham Hotspur F.C.,Wolverhampton Wanderers F.C.,2-2
West Ham United F.C.,Arsenal F.C.,2-5
West Ham United F.C.,Aston Villa F.C.,1-2
West Ham United F.C.,AFC Bournemouth,2-2
West Ham United F.C.,Brentford F.C.,0-1
West Ham United F.C.,Brighton & Hove Albion F.C.,1-1
West Ham United F.C.,Chelsea F.C.,0-3
West Ham United F.C.,Crystal Palace F.C.,0-2
West Ham United F.C.,Everton F.C.,0-0
West Ham United F.C.,Fulham F.C.,3-2
West Ham United F.C.,Ipswich Town F.C.,4-1
West Ham United F.C.,Leicester City F.C.,2-0
West Ham United F.C.,Liverpool F.C.,0-5
West Ham United F.C.,Manchester City F.C.,1-3
West Ham United F.C.,Manchester United F.C.,2-1
West Ham United F.C.,Newcastle United F.C.,0-1
West Ham United F.C.,Nottingham Forest F.C.,1-2
West Ham United F.C.,Southampton F.C.,1-1
West Ham United F.C.,Tottenham Hotspur F.C.,1-1
West Ham United F.C.,Wolverhampton Wanderers F.C.,2-1
Wolverhampton Wanderers F.C.,Arsenal F.C.,0-1
Wolverhampton Wanderers F.C.,Aston Villa F.C.,2-0
Wolverhampton Wanderers F.C.,AFC Bournemouth,2-4
Wolverhampton Wanderers F.C.,Brentford F.C.,1-1
Wolverhampton Wanderers F.C.,Brighton & Hove Albion F.C.,0-2
